suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:16:02 +0700 +07,true,d3249449f14b8b0290acc7519232e1f8,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:14 +0700 +07,true,d2ab7b053eae6444fd8c5f24716f27a8,student,FP,FP,true,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 08:16:24 +0700 +07,true,6dc2ad4711be5f54c810fc59a72ad308,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:29 +0700 +07,true,13d441cb24c76159b979837a5e83f515,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:52 +0700 +07,true,5b73b823b95c06c9f85c7c1e605db72e,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:52 +0700 +07,true,d5e363d562f462c334ec68a34516c4a3,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:54 +0700 +07,true,d170ad5e434ac719de5211fea7cd52ab,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:16:54 +0700 +07,true,3cf8c974e72b818bfdc3f331cf568f57,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:11 +0700 +07,true,6b7cead83e4f054441fb2070f1081d26,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:16 +0700 +07,true,0f9c217547e75ff942430b267bedff54,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:18 +0700 +07,true,b6b2626bc8039f07254ae8168405efb2,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
true,,true,,2020-12-18 08:17:21 +0700 +07,true,cc33e05e0cc070745465d971b0b9cfe1,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:29 +0700 +07,true,f2d1260af420cbc2dc10d26f707dc6a4,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:32 +0700 +07,true,c0e84ee7c36892d73dc263cf27a68d20,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:17:32 +0700 +07,true,7615df2dc1d6b273c3d2393f9c433a03,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:34 +0700 +07,true,fe129751c4a1f40fa1ccf94dde870cf2,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:17:37 +0700 +07,true,c38d2eae6ca990ec021c78a417447a74,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:17:37 +0700 +07,true,b10a6810fade8453266de5fb8a92650b,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:39 +0700 +07,true,d03a123876a93660ba64e5f05773e07d,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:42 +0700 +07,true,20b6ef668040b53d0c2f736f7d88e0bc,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:44 +0700 +07,true,d24b8dec7861afe161c89ff2af23d09c,student,FH,FH,true,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 1,,,,,
true,,true,,2020-12-18 08:17:46 +0700 +07,true,34b4cc4b07ec39727918bcb1da9646b1,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:17:48 +0700 +07,true,ab304411708dd6929a234c06925c39e9,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:17:56 +0700 +07,true,9bbddeea603633afcd621300ce81e178,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:17:58 +0700 +07,true,4be692e0f9887aae6f01e05c5b10a941,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:04 +0700 +07,true,586b9e54a50c42efb2549669be5ccb74,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:05 +0700 +07,true,d61863db85bf8cc0cd253d391eb000ff,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:06 +0700 +07,true,fb22dcf409a7c753143944b1653ba724,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:18:08 +0700 +07,true,72ae0863bb2cf1f9c09366e95b167848,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:10 +0700 +07,true,891e91ae46fd44c13356b414f1126f1f,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:18:11 +0700 +07,true,a17cd9c856475caf57686b5df78a98ee,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:17 +0700 +07,true,8d33264d3ecd9cfb648fcf02722f5bfc,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 5,,,,
true,,true,,2020-12-18 08:18:19 +0700 +07,true,ec905d8a61c85ad9c131cc6773521446,student,FP,FP,true,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 08:18:20 +0700 +07,true,b4bf83083d3313056ffbda1184d63701,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:21 +0700 +07,true,9822c22ad4f07d5695a84bd929456154,student,FP,FP,true,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 08:18:26 +0700 +07,true,477b902749645b8b1cac0bfbafab781c,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:27 +0700 +07,true,3f90a908dcf9cbb5894bcc299fc9b5b4,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:29 +0700 +07,true,f59845f3f1f87490b4f522dd5a0f2556,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:29 +0700 +07,true,704fd974f5e63cb93beb119188e4b367,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:30 +0700 +07,true,202a831b309c4cd0505d920f22d53b40,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:18:32 +0700 +07,true,49a59b740f755028bab10d8c806393e3,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:36 +0700 +07,true,3dcf979126807d856a9be8d0744f4f1e,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:36 +0700 +07,true,e27b2fbd7e17de82c38723e66097e9af,student,FH,FH,true,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 2,,,,,
true,,true,,2020-12-18 08:18:37 +0700 +07,true,cafa63722a39778a0ace4fb991575541,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:41 +0700 +07,true,025ffb63b26348aed1274572854fe45c,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:41 +0700 +07,true,4009649aa9450ec897a8d56c45a86a54,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:47 +0700 +07,true,466e9a50735c08441f9224e9230968e4,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:18:50 +0700 +07,true,73be217f9d2b7c0c8dd7ded22d729fc4,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:18:59 +0700 +07,true,c3ec4397cee0a84ac21157ea1329ad41,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
